fea.net.0.weight                                        shape=(8, 3, 3, 3)                 numel=216
fea.net.2.weight                                        shape=(16, 8, 3, 3)                numel=1152
fea.net.4.weight                                        shape=(32, 16, 3, 3)               numel=4608
sfmls.0.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.0.reduce.bias                                     shape=(12,)                        numel=12
sfmls.0.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.0.dw.bias                                         shape=(12,)                        numel=12
sfmls.0.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.0.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.0.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.0.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.1.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.1.reduce.bias                                     shape=(12,)                        numel=12
sfmls.1.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.1.dw.bias                                         shape=(12,)                        numel=12
sfmls.1.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.1.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.1.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.1.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.2.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.2.reduce.bias                                     shape=(12,)                        numel=12
sfmls.2.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.2.dw.bias                                         shape=(12,)                        numel=12
sfmls.2.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.2.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.2.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.2.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.3.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.3.reduce.bias                                     shape=(12,)                        numel=12
sfmls.3.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.3.dw.bias                                         shape=(12,)                        numel=12
sfmls.3.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.3.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.3.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.3.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.4.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.4.reduce.bias                                     shape=(12,)                        numel=12
sfmls.4.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.4.dw.bias                                         shape=(12,)                        numel=12
sfmls.4.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.4.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.4.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.4.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.5.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.5.reduce.bias                                     shape=(12,)                        numel=12
sfmls.5.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.5.dw.bias                                         shape=(12,)                        numel=12
sfmls.5.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.5.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.5.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.5.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.6.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.6.reduce.bias                                     shape=(12,)                        numel=12
sfmls.6.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.6.dw.bias                                         shape=(12,)                        numel=12
sfmls.6.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.6.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.6.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.6.expand_b.bias                                   shape=(48,)                        numel=48
sfmls.7.reduce.weight                                   shape=(12, 32, 1, 1)               numel=384
sfmls.7.reduce.bias                                     shape=(12,)                        numel=12
sfmls.7.dw.weight                                       shape=(12, 1, 3, 3)                numel=108
sfmls.7.dw.bias                                         shape=(12,)                        numel=12
sfmls.7.expand_a.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.7.expand_a.bias                                   shape=(48,)                        numel=48
sfmls.7.expand_b.weight                                 shape=(48, 12, 1, 1)               numel=576
sfmls.7.expand_b.bias                                   shape=(48,)                        numel=48
esas.0.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.0.conv1.bias                                       shape=(12,)                        numel=12
esas.0.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.0.conv_f.bias                                      shape=(12,)                        numel=12
esas.0.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.0.conv2.bias                                       shape=(12,)                        numel=12
esas.0.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.0.conv3.bias                                       shape=(12,)                        numel=12
esas.0.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.0.conv4.bias                                       shape=(48,)                        numel=48
esas.1.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.1.conv1.bias                                       shape=(12,)                        numel=12
esas.1.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.1.conv_f.bias                                      shape=(12,)                        numel=12
esas.1.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.1.conv2.bias                                       shape=(12,)                        numel=12
esas.1.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.1.conv3.bias                                       shape=(12,)                        numel=12
esas.1.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.1.conv4.bias                                       shape=(48,)                        numel=48
esas.2.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.2.conv1.bias                                       shape=(12,)                        numel=12
